support	itemsets
0.9297678518953865	frozenset({'Success'})
0.11372318542462533	frozenset({'ICL'})
0.10916838084043491	frozenset({'RePEN'})
0.10902145166029974	frozenset({'RCA'})
0.10608286805759624	frozenset({'NeuTraL'})
0.10549515133705555	frozenset({'Success', 'RCA'})
0.10534822215692037	frozenset({'DeepSVDD'})
0.10446664707610931	frozenset({'GOAD'})
0.10446664707610931	frozenset({'Success', 'RePEN'})
0.10417278871583896	frozenset({'SLAD'})
0.10387893035556861	frozenset({'DeepSAD'})
0.10387893035556861	frozenset({'RoSAS'})
0.1004995592124596	frozenset({'DevNet'})
0.09947105495151337	frozenset({'Success', 'GOAD'})
0.0993241257713782	frozenset({'RoSAS', 'Success'})
0.09917719659124302	frozenset({'DevNet', 'Success'})
0.09844255069056715	frozenset({'ICL', 'Success'})
0.09844255069056715	frozenset({'Success', 'SLAD'})
0.0981486923302968	frozenset({'DeepSAD', 'Success'})
0.09712018806935058	frozenset({'Success', 'DeepSVDD'})
0.09550396708786366	frozenset({'NeuTraL', 'Success'})
0.0940346752865119	frozenset({'PReNet'})
0.09183073758448428	frozenset({'Success', 'PReNet'})
0.08404349103732	frozenset({'RePEN', 'RCA'})
0.08051719071407581	frozenset({'RePEN', 'RCA', 'Success'})
0.07375844842785777	frozenset({'GOAD', 'SLAD'})
0.06964443138407288	frozenset({'Success', 'GOAD', 'SLAD'})
0.06303261827799	frozenset({'NeuTraL', 'SLAD'})
0.058918601234205115	frozenset({'NeuTraL', 'GOAD'})
0.058918601234205115	frozenset({'DeepSAD', 'GOAD'})
0.058918601234205115	frozenset({'DeepSAD', 'SLAD'})
0.05877167205406994	frozenset({'NeuTraL', 'Success', 'SLAD'})
0.058624742873934765	frozenset({'DevNet', 'PReNet'})
0.05789009697325889	frozenset({'DevNet', 'Success', 'PReNet'})
0.055686159271231266	frozenset({'DeepSAD', 'GOAD', 'Success'})
0.05480458419042022	frozenset({'DeepSAD', 'SLAD', 'Success'})
0.05480458419042022	frozenset({'NeuTraL', 'Success', 'GOAD'})
0.0531883632089333	frozenset({'NeuTraL', 'GOAD', 'SLAD'})
0.05201292976785189	frozenset({'ICL', 'NeuTraL'})
0.05171907140758154	frozenset({'DevNet', 'Success', 'RCA'})
0.05171907140758154	frozenset({'DevNet', 'RCA'})
0.04936820452541875	frozenset({'DevNet', 'Success', 'RePEN'})
0.04936820452541875	frozenset({'DevNet', 'RePEN'})
0.049221275345283574	frozenset({'NeuTraL', 'Success', 'GOAD', 'SLAD'})
0.04584190420217455	frozenset({'NeuTraL', 'DeepSAD'})
0.04481339994122833	frozenset({'DevNet', 'RePEN', 'RCA', 'Success'})
0.04481339994122833	frozenset({'DevNet', 'RePEN', 'RCA'})
0.044372612400822804	frozenset({'ICL', 'Success', 'NeuTraL'})
0.04393182486041728	frozenset({'RoSAS', 'Success', 'DevNet'})
0.04393182486041728	frozenset({'RoSAS', 'DevNet'})
0.043784895680282106	frozenset({'RoSAS', 'RePEN'})
0.04363796650014693	frozenset({'RoSAS', 'Success', 'RePEN'})
0.04275639141933588	frozenset({'DeepSAD', 'GOAD', 'SLAD'})
0.04246253305906553	frozenset({'NeuTraL', 'DeepSAD', 'Success'})
0.04202174551866	frozenset({'RoSAS', 'PReNet'})
0.04187481633852483	frozenset({'RoSAS', 'Success', 'PReNet'})
0.04055245371730826	frozenset({'RoSAS', 'DevNet', 'RePEN'})
0.04055245371730826	frozenset({'RoSAS', 'Success', 'DevNet', 'RePEN'})
0.03967087863649721	frozenset({'DeepSAD', 'GOAD', 'SLAD', 'Success'})
0.03967087863649721	frozenset({'ICL', 'DeepSVDD'})
0.03967087863649721	frozenset({'NeuTraL', 'DeepSAD', 'SLAD'})
0.039523949456362034	frozenset({'Success', 'Quartile'})
0.039523949456362034	frozenset({'Quartile'})
0.03878930355568616	frozenset({'Success', 'Quartile', 'RCA'})
0.03878930355568616	frozenset({'Quartile', 'RCA'})
0.038642374375550986	frozenset({'RoSAS', 'Success', 'RCA'})
0.038642374375550986	frozenset({'RoSAS', 'RCA'})
0.03849544519541581	frozenset({'Quartile', 'RePEN'})
0.03849544519541581	frozenset({'Success', 'Quartile', 'RePEN', 'RCA'})
0.03849544519541581	frozenset({'Success', 'Quartile', 'RePEN'})
0.03849544519541581	frozenset({'Quartile', 'RePEN', 'RCA'})
0.03834851601528064	frozenset({'RoSAS', 'DeepSAD'})
0.03834851601528064	frozenset({'RoSAS', 'RePEN', 'RCA', 'Success'})
0.03834851601528064	frozenset({'RoSAS', 'RePEN', 'RCA'})
0.037613870114604764	frozenset({'RoSAS', 'Quartile'})
0.037613870114604764	frozenset({'RoSAS', 'Success', 'DevNet', 'RCA'})
0.037613870114604764	frozenset({'RoSAS', 'Quartile', 'RePEN'})
0.037613870114604764	frozenset({'RoSAS', 'Success', 'Quartile', 'RCA'})
0.037613870114604764	frozenset({'RoSAS', 'RePEN', 'DevNet', 'RCA'})
0.037613870114604764	frozenset({'RePEN', 'RCA', 'RoSAS', 'Success', 'DevNet'})
0.037613870114604764	frozenset({'Quartile', 'RePEN', 'RCA', 'RoSAS', 'Success'})
0.037613870114604764	frozenset({'RoSAS', 'DevNet', 'RCA'})
0.037613870114604764	frozenset({'RoSAS', 'Success', 'Quartile', 'RePEN'})
0.037613870114604764	frozenset({'RoSAS', 'Quartile', 'RePEN', 'RCA'})
0.037613870114604764	frozenset({'RoSAS', 'Success', 'Quartile'})
0.037613870114604764	frozenset({'RoSAS', 'Quartile', 'RCA'})
0.03732001175433441	frozenset({'DevNet', 'Quartile'})
0.03732001175433441	frozenset({'DevNet', 'Success', 'Quartile', 'RCA'})
0.03732001175433441	frozenset({'DevNet', 'Success', 'Quartile', 'RePEN'})
0.03732001175433441	frozenset({'DevNet', 'Quartile', 'RePEN'})
0.03732001175433441	frozenset({'DevNet', 'Quartile', 'RePEN', 'RCA'})
0.03732001175433441	frozenset({'DevNet', 'Quartile', 'RCA'})
0.03732001175433441	frozenset({'Quartile', 'RePEN', 'RCA', 'Success', 'DevNet'})
0.03732001175433441	frozenset({'DevNet', 'Success', 'Quartile'})
0.036879224213928884	frozenset({'RoSAS', 'DevNet', 'Quartile'})
0.036879224213928884	frozenset({'Quartile', 'RCA', 'RoSAS', 'Success', 'DevNet'})
0.036879224213928884	frozenset({'RoSAS', 'DevNet', 'Quartile', 'RePEN'})
0.036879224213928884	frozenset({'RoSAS', 'DevNet', 'Quartile', 'RCA'})
0.036879224213928884	frozenset({'RoSAS', 'Success', 'Quartile', 'DevNet'})
0.036879224213928884	frozenset({'Quartile', 'RePEN', 'RCA', 'RoSAS', 'DevNet'})
0.036879224213928884	frozenset({'Quartile', 'RePEN', 'RoSAS', 'Success', 'DevNet'})
0.036879224213928884	frozenset({'Quartile', 'RePEN', 'RCA', 'RoSAS', 'Success', 'DevNet'})
0.03643843667352336	frozenset({'NeuTraL', 'DeepSAD', 'SLAD', 'Success'})
0.03614457831325301	frozenset({'RoSAS', 'DeepSAD', 'Success'})
0.03585071995298266	frozenset({'DeepSVDD', 'RePEN'})
0.03511607405230679	frozenset({'ICL', 'Success', 'DeepSVDD'})
0.03496914487217161	frozenset({'RoSAS', 'DevNet', 'PReNet'})
0.03496914487217161	frozenset({'RoSAS', 'Success', 'PReNet', 'DevNet'})
0.03496914487217161	frozenset({'DeepSVDD', 'RCA'})
0.03482221569203644	frozenset({'NeuTraL', 'DeepSAD', 'GOAD'})
0.034675286511901264	frozenset({'Success', 'PReNet', 'RePEN'})
0.034675286511901264	frozenset({'PReNet', 'RePEN'})
0.03423449897149574	frozenset({'NeuTraL', 'DeepSAD', 'GOAD', 'SLAD'})
0.03394064061122539	frozenset({'RoSAS', 'GOAD'})
